our_stage1_rank,ticker,category,sector,fcf_yield_ttm,fcf_yield_q_ann,signal_70d_return,stage2_rank,net_debt_to_mcap,domestic_mcap_rank,global_marketcap_rank,marketcap_ffill,avg_10d_dollar_volume,combined_10d_dollar_volume,revenue_screen_ratio_max,revenue_quarterly,close_price,close_adj_price
103,TT2,Domestic Common Stock,Basic Materials,0.07257404886393766,0.1062141886116061,0.19828302409304932,182.0,0.23351340046665905,317,355,7083799347.668177,165276378.4149,165276378.4149,42.5326739502951,2234400000,97.3,32.433
104,MAT,Domestic Common Stock,Consumer Cyclical,0.07238797748974958,-0.006693833472566705,-0.010936673134591013,57.0,0.03183731759468962,274,310,8460921567.904394,46894796.6,46894796.6,39.407313392591824,1704674000,19.29,19.29
105,VRSN,Domestic Common Stock,Technology,0.07214439242359726,0.08260863355104539,-0.004585017096674804,64.0,-0.0977005845055276,523,569,3687701719.6000443,32913186.0,32913186.0,5.976348889780382,268123000,15.27,15.27
106,SIAL,Domestic Common Stock,Basic Materials,0.0716284194554072,0.08103242319136232,-0.00834503842022627,60.0,0.02732701224717341,514,560,3790087817.9925585,25575201.1,25575201.1,7.435157286357136,314185000,54.5,27.25
107,HUM,Domestic Common Stock,Healthcare,0.07160365466781676,,0.214063984795692,186.0,0.07124217956924236,540,586,3543939218.985919,29701293.0,29701293.0,57.83254795467179,3111765000,22.0,22.0
108,KMI1,Domestic Common Stock,Utilities,0.07127396160676633,0.05104760700928677,0.03676706355144077,80.0,0.5298496938685158,331,370,6771561298.399631,30996349.6,30996349.6,31.534142885005718,246983000,54.95,54.95
109,MO,Domestic Common Stock,Consumer Defensive,0.07120805442120942,0.1616320262638685,0.2751732572360377,194.0,0.2029374449203006,16,19,106266068656.21873,311757313.0,311757313.0,445.7687793336847,20939000000,52.31,52.31
110,MAS,Domestic Common Stock,Basic Materials,0.07065086214741875,0.07543728599946826,0.11423484904680659,148.0,0.2730643636648196,177,205,12815413322.356459,53660872.0,53660872.0,48.13201738065692,2917900000,27.67,27.67
111,HON,Domestic Common Stock,Industrials,0.07029629620308651,0.08399037987901246,0.024412684781941474,74.0,0.0889720093767638,91,106,26288725008.514168,98169406.0,98169406.0,264.5141240228269,5768000000,30.3,60.6
112,LXK,Domestic Common Stock,Technology,0.07017956449065081,0.02535519749339642,0.08196429841405317,118.0,-0.04479207007003264,250,285,9497066629.542706,55716867.2,55716867.2,21.595647689891642,1157100000,73.92,73.92
113,KBH,Domestic Common Stock,Consumer Cyclical,0.06978478896241166,-0.05260779915843524,0.13554187432815423,158.0,0.5074290336488876,626,677,3021833312.608937,62100682.0,62100682.0,29.517006761901918,1466443000,65.12,32.56
114,PCP,Domestic Common Stock,Industrials,0.06947847922105731,0.05695231109226091,0.25485313260512776,192.0,0.27788099851751924,748,804,2394986215.3800287,31606742.3,31606742.3,12.473181828697372,476300000,44.98,22.49
115,NWL,Domestic Common Stock,Consumer Defensive,0.06933401164076339,0.15047972590471936,-0.12358043458821466,19.0,0.4041570808589567,365,406,5858596529.862174,70459468.0,70459468.0,39.085302482898456,1944700000,21.15,21.15
